FECHA,HUESPEDES,NIVEL_STOCK,Salidas_BC
01-06-2022,160,316,142
02-06-2022,184,316,0
03-06-2022,211,360,36
04-06-2022,220,350,36
05-06-2022,178,350,0
06-06-2022,133,289,35
07-06-2022,117,289,0
08-06-2022,128,470,36
09-06-2022,179,470,0
10-06-2022,207,394,40
11-06-2022,223,394,0
12-06-2022,183,394,0
13-06-2022,162,349,45
14-06-2022,136,349,0
15-06-2022,162,305,45
16-06-2022,178,305,0
17-06-2022,187,621,36
18-06-2022,234,568,53
19-06-2022,170,568,0
20-06-2022,188,515,55
21-06-2022,162,515,0
22-06-2022,178,664,37
23-06-2022,167,664,0
24-06-2022,230,664,0
25-06-2022,244,592,35
26-06-2022,233,592,0
27-06-2022,157,547,77
28-06-2022,160,547,0
29-06-2022,143,547,0
30-06-2022,162,547,0
01-07-2022,200,691,62
02-07-2022,223,691,0
03-07-2022,186,691,0
04-07-2022,203,594,36
05-07-2022,190,714,0
06-07-2022,188,714,0
07-07-2022,224,678,35
08-07-2022,215,678,0
09-07-2022,244,669,9
10-07-2022,209,669,0
11-07-2022,248,641,82
12-07-2022,239,641,0
13-07-2022,256,560,36
14-07-2022,238,516,35
15-07-2022,227,489,35
16-07-2022,253,489,0
17-07-2022,239,489,0
18-07-2022,255,446,70
19-07-2022,257,402,9
20-07-2022,263,374,29
21-07-2022,246,469,38
22-07-2022,249,469,0
23-07-2022,240,469,0
24-07-2022,187,469,0
25-07-2022,191,469,0
26-07-2022,232,422,46
27-07-2022,206,422,0
28-07-2022,245,376,98
29-07-2022,241,376,0
30-07-2022,224,376,0
31-07-2022,103,376,0
01-08-2022,201,252,71
02-08-2022,225,208,9
03-08-2022,223,208,0
04-08-2022,243,391,40
05-08-2022,231,391,0
06-08-2022,215,391,0
07-08-2022,189,391,0
08-08-2022,198,288,62
09-08-2022,200,255,33
10-08-2022,185,255,38
11-08-2022,206,368,0
12-08-2022,214,335,33
13-08-2022,234,309,70
14-08-2022,247,309,0
15-08-2022,176,255,51
16-08-2022,156,194,20
17-08-2022,146,194,0
18-08-2022,184,297,32
19-08-2022,225,297,0
20-08-2022,236,650,25
21-08-2022,124,650,0
22-08-2022,128,627,23
23-08-2022,134,627,0
24-08-2022,127,592,35
25-08-2022,148,583,18
26-08-2022,190,583,0
27-08-2022,192,565,55
28-08-2022,108,565,0
29-08-2022,91,565,0
30-08-2022,80,565,0
31-08-2022,67,565,0
01-09-2022,85,505,70
02-09-2022,105,505,0
03-09-2022,68,704,25
04-09-2022,0,704,0
05-09-2022,71,704,0
06-09-2022,108,704,0
07-09-2022,130,679,25
08-09-2022,139,652,26
09-09-2022,166,626,36
10-09-2022,173,626,0
11-09-2022,134,626,0
12-09-2022,123,591,36
13-09-2022,110,555,51
14-09-2022,147,555,0
15-09-2022,186,555,0
16-09-2022,228,505,25
17-09-2022,241,505,0
18-09-2022,242,505,0
19-09-2022,225,476,67
20-09-2022,210,476,0
21-09-2022,202,409,40
22-09-2022,198,375,22
23-09-2022,202,343,32
24-09-2022,199,313,31
25-09-2022,130,313,0
26-09-2022,139,284,29
27-09-2022,141,484,0
28-09-2022,171,484,0
29-09-2022,155,465,19
30-09-2022,184,464,1
01-10-2022,201,438,132
02-10-2022,158,438,0
03-10-2022,111,321,30
04-10-2022,110,292,10
05-10-2022,101,372,20
06-10-2022,105,345,37
07-10-2022,195,325,31
08-10-2022,219,277,26
09-10-2022,235,277,0
10-10-2022,159,267,50
11-10-2022,203,207,40
12-10-2022,178,207,0
13-10-2022,116,277,10
14-10-2022,151,267,10
15-10-2022,185,247,20
16-10-2022,119,247,0
17-10-2022,146,227,20
18-10-2022,158,227,0
19-10-2022,181,207,20
20-10-2022,188,300,35
21-10-2022,169,245,50
22-10-2022,198,205,10
23-10-2022,144,205,0
24-10-2022,172,195,47
25-10-2022,155,148,10
26-10-2022,81,122,26
27-10-2022,84,222,136
28-10-2022,133,66,20
29-10-2022,230,146,20
30-10-2022,234,145,1
31-10-2022,228,145,0
01-11-2022,179,125,30
