Salida,Entrada,Stock
20,0,-20
0,15,-5
0,60,55
12,0,43
0,0,43
0,0,43
48,0,-5
0,0,-5
0,60,55
32,0,23
12,0,11
0,0,11
0,0,11
0,0,11
0,0,11
0,0,11
10,60,61
0,0,61
0,0,61
0,0,61
0,0,61
0,0,61
0,0,61
20,0,41
37,0,4
0,0,4
0,0,4
34,30,4
20,0,-20
0,0,-20
0,40,20
0,0,20
0,0,20
0,0,20
0,0,20
0,0,20
0,0,20
0,0,20
0,0,20
0,0,20
0,0,20
0,0,20
0,0,20
0,20,40
0,20,60
0,0,60
0,0,60
0,0,60
10,0,50
3,0,47
0,0,47
0,0,47
32,20,35
0,0,35
0,0,35
15,0,20
17,0,3
0,0,3
0,0,3
0,70,73
0,0,73
0,0,73
0,0,73
0,0,73
0,0,73
0,0,73
0,30,103
0,0,103
0,0,103
17,0,86
28,0,58
10,0,48
10,0,38
13,0,25
0,0,25
0,0,25
0,0,25
9,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
0,0,16
9,0,7
7,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,15,15
10,0,5
5,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
10,25,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
10,0,5
5,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,10,10
0,0,10
25,15,10
0,0,10
0,0,10
0,0,10
0,0,10
10,10,10
0,0,10
10,15,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
5,0,5
0,0,5
0,0,5
0,20,20
0,0,20
0,15,35
8,0,27
15,15,27
0,0,27
0,0,27
3,0,24
18,0,6
0,0,6
0,0,6
1,15,20
0,0,20
0,0,20
1,0,19
0,0,19
0,10,29
6,0,23
12,10,21
0,0,21
0,0,21
30,0,-9
0,0,-9
0,10,1
0,0,1
0,9,10
0,0,10
0,0,10
0,10,20
0,0,20
0,10,30
10,0,20
0,10,30
5,0,25
0,0,25
16,0,9
14,0,-5
0,10,5
10,0,-5
0,10,5
5,0,5
0,0,5
0,0,5
0,0,5
10,0,-10
0,10,-10
5,0,-5
10,0,-15
0,0,-15
10,10,-15
0,0,-15
0,15,-15
0,0,-15
15,20,5
5,0,5
0,0,5
0,0,5
0,0,5
0,0,5
10,10,5
15,20,5
0,0,5
0,0,5
10,0,-5
0,0,-5
0,10,5
0,0,5
10,10,5
0,0,5
5,0,5
0,0,5
0,0,5
5,0,-5
0,10,5
10,15,10
0,0,10
0,0,10
15,0,-5
0,0,-5
0,10,5
10,0,-5
0,20,15
20,0,-5
0,0,-5
0,0,-5
0,0,-5
0,15,10
0,0,10
0,5,15
0,0,15
0,0,15
0,20,35
0,0,35
0,15,50
0,0,50
20,15,45
0,0,45
0,0,45
30,0,15
20,0,-5
0,20,15
0,0,15
20,60,55
10,0,45
0,0,45
16,0,29
0,0,29
0,0,29
23,100,106
0,0,106
0,0,106
0,0,106
30,0,76
0,0,76
0,0,76
0,0,76
0,0,76
0,0,76
0,0,76
0,10,86
20,15,81
0,15,96
0,0,96
5,10,101
0,0,101
0,0,101
45,0,56
0,0,56
0,0,56
10,0,46
0,0,46
0,0,46
0,0,46
30,20,36
0,0,36
0,10,46
35,0,11
0,10,21
10,0,11
0,0,11
0,0,11
0,0,11
0,15,26
0,0,26
21,20,25
0,0,25
0,0,25
0,0,25
0,0,25
0,9,34
0,0,34
54,0,-20
10,30,-20
0,0,-20
0,0,-20
0,0,-20
0,20,20
20,0,20
0,30,30
5,0,25
0,0,25
0,0,25
0,0,25
0,20,45
15,0,30
0,20,50
11,0,39
0,0,39
26,0,13
0,0,13
0,10,23
0,0,23
5,15,33
2,0,31
0,0,31
0,0,31
19,0,12
0,10,22
0,0,22
8,0,14
0,0,14
0,0,14
25,20,9
0,0,9
10,15,14
1,0,13
14,15,14
0,0,14
0,0,14
0,0,14
22,0,-8
8,0,-16
10,15,-11
8,15,-4
7,0,-11
0,0,-11
8,0,-19
0,0,-19
0,15,-4
0,0,-4
0,20,16
0,0,16
0,0,16
12,0,4
3,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
8,0,-8
12,20,-8
8,10,2
4,0,-2
0,0,-2
2,0,-4
4,0,-8
0,10,2
5,0,-3
5,15,7
7,0,7
0,0,7
0,0,7
0,0,7
5,15,10
0,0,10
4,15,21
0,0,21
0,0,21
0,0,21
0,0,21
0,10,31
14,0,17
0,10,27
0,0,27
0,0,27
26,0,1
0,0,1
0,10,11
0,0,11
1,15,25
7,0,18
0,0,18
8,0,10
0,0,10
5,15,20
0,0,20
0,15,35
5,0,30
0,0,30
10,0,20
0,0,20
20,15,15
0,0,15
0,15,30
15,0,15
0,0,15
2,0,13
13,0,13
0,15,15
12,0,3
0,15,18
10,0,8
0,0,8
8,0,8
0,0,8
0,0,8
0,0,8
0,0,8
0,0,8
7,0,-7
10,25,8
0,0,8
0,10,18
10,0,8
0,10,18
0,0,18
0,0,18
19,0,-1
0,0,-1
10,20,9
10,0,-1
0,15,14
0,0,14
0,0,14
0,0,14
10,0,4
0,10,14
6,0,8
0,0,8
0,0,8
0,0,8
0,0,8
0,0,8
0,0,8
0,0,8
0,0,8
0,0,8
6,0,2
0,0,2
0,5,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
2,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
5,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
